id;name;description;category_image;category_image_content_type
1;Table;projection Versatile;../fake-data/blob/hipster.png;image/png
2;Integration;bypassing SCSI applications;../fake-data/blob/hipster.png;image/png
3;e-commerce;Fresh;../fake-data/blob/hipster.png;image/png
4;transmitting XML orchestrate;Nevada enterprise Belarussian Ruble;../fake-data/blob/hipster.png;image/png
5;fuchsia;Soap Chad Regional;../fake-data/blob/hipster.png;image/png
6;architectures red;Dominica;../fake-data/blob/hipster.png;image/png
7;Program Identity;fresh-thinking Designer;../fake-data/blob/hipster.png;image/png
8;array;Chicken violet;../fake-data/blob/hipster.png;image/png
9;Home Loan Account deposit;HDD;../fake-data/blob/hipster.png;image/png
10;pink Investor;compress;../fake-data/blob/hipster.png;image/png
