id;name;description;image;image_content_type;address_id;category_id;customer_id
1;matrix card;orange;../fake-data/blob/hipster.png;image/png;1;1;1
2;compress indexing;real-time channels pink;../fake-data/blob/hipster.png;image/png;2;2;2
3;copy backing up;initiatives;../fake-data/blob/hipster.png;image/png;3;3;3
4;invoice;transmitter Wooden;../fake-data/blob/hipster.png;image/png;4;4;4
5;Aruban Guilder Gorgeous Soft T;Falls Bedfordshire invoice;../fake-data/blob/hipster.png;image/png;5;5;5
6;Unbranded Soft Salad moderator;orange Turkmenistan Health;../fake-data/blob/hipster.png;image/png;6;6;6
7;redefine;override transmitter Home Loan Account;../fake-data/blob/hipster.png;image/png;7;7;7
8;Germany;plum;../fake-data/blob/hipster.png;image/png;8;8;8
9;Cambridgeshire Sleek Frozen Ba;blue Marketing Cayman Islands Dollar;../fake-data/blob/hipster.png;image/png;9;9;9
10;interfaces compress Practical ;Personal Loan Account Granite;../fake-data/blob/hipster.png;image/png;10;10;10
